threshold,ZeroKey (Ours),Only 6 Views,w/o HDBSCAN Clustering,Global Text Prompt,Image-level MLLM (GPT-4o),Textured,Position Map
0.0,1,0.4543653616,0.1852638119,0.060826,0.1946054725,0.4923606813,0.4328071045
0.01,1,0.5994701284,0.07511298114,0.1998157778,0.1521464646,0.5614233819,0.4922589746
0.02,1,0.8434089056,0.03561280772,0.3048146865,0.2184133793,0.6785115529,0.6357165033
0.03,1,0.8674015003,0.1442775198,0.2962515239,0.327703513,0.6300556715,0.5836244848
0.04,1,0.9140191927,0.1757869962,0.3170089562,0.401986408,0.6472319299,0.6001884735
0.05,1,0.9529167133,0.2983980913,0.283455842,0.4652968154,0.6652441076,0.6007058382
0.06,1,0.9462473365,0.3140530653,0.3630190258,0.5514030896,0.7159019346,0.643932343
0.07,1,0.8908704297,0.3476173183,0.3907286791,0.5785793665,0.7578232012,0.6968435121
0.08,1,0.8749424937,0.4067368019,0.4023440075,0.6224305605,0.7976097125,0.7429609834
0.09,1,0.8757712065,0.4267723063,0.4138510784,0.6607652379,0.8374033909,0.7976035762
0.1,1,0.8711008192,0.5003529362,0.4159128852,0.6812972559,0.8846305536,0.8420678326
